SYMBOL			FILE				LINE

ABC			hardware/blit.h			*16
ABNC			hardware/blit.h			*17
ABS()			clib/macros.h			*6
ACCESS_READ		libraries/dos.h			*36
ACCESS_WRITE		libraries/dos.h			*38
ACTION_COPY_DIR		libraries/dosextens.h		*115
ACTION_CREATE_DIR	libraries/dosextens.h		*118
ACTION_CURRENT_VOLUME	libraries/dosextens.h		*106
ACTION_DELETE_OBJECT	libraries/dosextens.h		*112
ACTION_DIE		libraries/dosextens.h		*104
ACTION_DISK_CHANGE	libraries/dosextens.h		*129
ACTION_DISK_INFO	libraries/dosextens.h		*121
ACTION_DISK_TYPE	libraries/dosextens.h		*128
ACTION_EVENT		libraries/dosextens.h		*105
ACTION_EXAMINE_NEXT	libraries/dosextens.h		*120
ACTION_EXAMINE_OBJECT	libraries/dosextens.h		*119
ACTION_FREE_LOCK	libraries/dosextens.h		*111
ACTION_GET_BLOCK	libraries/dosextens.h		*102
ACTION_INFO		libraries/dosextens.h		*122
ACTION_INHIBIT		libraries/dosextens.h		*127
ACTION_LOCATE_OBJECT	libraries/dosextens.h		*107
ACTION_NIL		libraries/dosextens.h		*101
ACTION_PARENT		libraries/dosextens.h		*125
ACTION_READ		libraries/dosextens.h		*110
ACTION_RENAME_DISK	libraries/dosextens.h		*108
ACTION_RENAME_OBJECT	libraries/dosextens.h		*113
ACTION_SET_COMMENT	libraries/dosextens.h		*124
ACTION_SET_MAP		libraries/dosextens.h		*103
ACTION_SET_PROTECT	libraries/dosextens.h		*117
ACTION_TIMER		libraries/dosextens.h		*126
ACTION_WAIT_CHAR	libraries/dosextens.h		*116
ACTION_WRITE		libraries/dosextens.h		*109
ACTIVATE		intuition/intuition.h		*487
ACTIVEWINDOW		intuition/intuition.h		*380
ADALLOC_MAXPREC		devices/audio.h			*17
ADALLOC_MINPREC		devices/audio.h			*16
ADCMDB_NOUNIT		devices/audio.h			*25
ADCMDF_NOUNIT		devices/audio.h			*26
ADCMD_ALLOCATE		devices/audio.h			*27
ADCMD_FINISH		devices/audio.h			*21
ADCMD_FREE		devices/audio.h			*19
ADCMD_LOCK		devices/audio.h			*23
ADCMD_PERVOL		devices/audio.h			*22
ADCMD_SETPREC		devices/audio.h			*20
ADCMD_WAITCYCLE		devices/audio.h			*24
ADHARD_CHANNELS		devices/audio.h			*14
ADIOB_NOWAIT		devices/audio.h			*33
ADIOB_PERVOL		devices/audio.h			*29
ADIOB_SYNCCYCLE		devices/audio.h			*31
ADIOB_WRITEMESSAGE	devices/audio.h			*35
ADIOERR_ALLOCFAILED	devices/audio.h			*39
ADIOERR_CHANNELSTOLEN	devices/audio.h			*40
ADIOERR_NOALLOCATION	devices/audio.h			*38
ADIOF_NOWAIT		devices/audio.h			*34
ADIOF_PERVOL		devices/audio.h			*30
ADIOF_SYNCCYCLE		devices/audio.h			*32
ADIOF_WRITEMESSAGE	devices/audio.h			*36
ADKB_FAST		hardware/adkbits.h		*13
ADKB_MFMPREC		hardware/adkbits.h		*9
ADKB_MSBSYNC		hardware/adkbits.h		*12
ADKB_PRECOMP0		hardware/adkbits.h		*8
ADKB_PRECOMP1		hardware/adkbits.h		*7
ADKB_SETCLR		hardware/adkbits.h		*6
ADKB_UARTBRK		hardware/adkbits.h		*10
ADKB_USE0P1		hardware/adkbits.h		*17
ADKB_USE0V1		hardware/adkbits.h		*21
ADKB_USE1P2		hardware/adkbits.h		*16
ADKB_USE1V2		hardware/adkbits.h		*20
ADKB_USE2P3		hardware/adkbits.h		*15
ADKB_USE2V3		hardware/adkbits.h		*19
ADKB_USE3PN		hardware/adkbits.h		*14
ADKB_USE3VN		hardware/adkbits.h		*18
ADKB_WORDSYNC		hardware/adkbits.h		*11
ADKF_FAST		hardware/adkbits.h		*30
ADKF_MFMPREC		hardware/adkbits.h		*26
ADKF_MSBSYNC		hardware/adkbits.h		*29
ADKF_PRE000NS		hardware/adkbits.h		*40
ADKF_PRE140NS		hardware/adkbits.h		*41
ADKF_PRE280NS		hardware/adkbits.h		*42
ADKF_PRE560NS		hardware/adkbits.h		*43
ADKF_PRECOMP0		hardware/adkbits.h		*25
ADKF_PRECOMP1		hardware/adkbits.h		*24
ADKF_SETCLR		hardware/adkbits.h		*23
ADKF_UARTBRK		hardware/adkbits.h		*27
ADKF_USE0P1		hardware/adkbits.h		*34
ADKF_USE0V1		hardware/adkbits.h		*38
ADKF_USE1P2		hardware/adkbits.h		*33
ADKF_USE1V2		hardware/adkbits.h		*37
ADKF_USE2P3		hardware/adkbits.h		*32
ADKF_USE2V3		hardware/adkbits.h		*36
ADKF_USE3PN		hardware/adkbits.h		*31
ADKF_USE3VN		hardware/adkbits.h		*35
ADKF_WORDSYNC		hardware/adkbits.h		*28
AFB_50HZ		exec/execbase.h			*95
AFB_68010		exec/execbase.h			*91
AFB_68020		exec/execbase.h			*92
AFB_68881		exec/execbase.h			*93
