*DONT CHANGE THIS FILE!*
*Rd/Rr register*
*K Constant literal or byte data*
*k Constant address data*
*b Bit number (3 bit)*
*s Bit in status register (3 bit)*
*P I/O port address*
*q Displacement for direct addressing (6 bit)*
*! indicates the following bit will be inverted*
**
*N is normal*
*U is upper registers*
*R is relative addressing*
*L is longer relative addressing*
*S is registers >15*
*Axxxx Replace opcode with xxxx and operand is Rn,Rn*
**
ADD Rd,Rr  000011rdddddrrrr                    N
ADC Rd,Rr  000111rdddddrrrr                    N
ADIW Rdl,K 10010110KKddKKKK                    U
SUB Rd,Rr  000110rdddddrrrr                    N
SUBI Rd,K  0101KKKKddddKKKK                    S
SBIW Rdl,K 10010111KKddKKKK                    U
SBC Rd,Rr  000010rdddddrrrr                    N 
SBCI Rd,K  0100KKKKddddKKKK                    S
AND Rd,Rr  001000rdddddrrrr                    N
ANDI Rd,K  0111KKKKddddKKKK                    S
OR Rd,Rr   001010rdddddrrrr                    N                      
ORI Rd,K   0110KKKKddddKKKK                    S
EOR Rd,Rr  001001rdddddrrrr                    N
COM Rd     1001010ddddd0000                    N
NEG Rd     1001010ddddd0001                    N
SBR Rd,K   0110KKKKddddKKKK                    S
CBR Rd,K   0111!K!K!K!Kdddd!K!K!K!K            S
INC Rd     1001010ddddd0011                    N
DEC Rd     1001010ddddd1010                    N
TST Rd     0000000000000000                    AAND
CLR Rd     0000000000000000                    AEOR
SER Rd     11101111dddd1111                    S
RJMP k     1100kkkkkkkkkkkk                    L
IJMP -     10010100XXXX1001                    N
RCALL k    1101kkkkkkkkkkkk                    L
ICALL -    10010101XXXX1001                    N
RET -      100101010XX01000                    N
RETI -     100101010XX11000                    N
CPSE Rd,Rr 000100rdddddrrrr                    N
CP Rd,Rr   000101rdddddrrrr                    N
CPC Rd,Rr  000001rdddddrrrr                    N
CPI Rd,K   0011KKKKddddKKKK                    S
SBRC Rr,b  1111110rrrrrXbbb                    N
SBRS Rr,b  1111111rrrrrXbbb                    N
SBIC P,b   10011001PPPPPbbb                    N 
SBIS P,b   10011011PPPPPbbb                    N
BRBS s,k   111100kkkkkkksss                    R
BRBC s,k   111101kkkkkkksss                    R 
BREQ k     111100kkkkkkk001                    R
BRNE k     111101kkkkkkk001                    R
BRCS k     111100kkkkkkk000                    R
BRCC k     111101kkkkkkk000                    R
BRSH k     111101kkkkkkk000                    R
BRLO k     111100kkkkkkk000                    R
BRMI k     111100kkkkkkk010                    R
BRPL k     111101kkkkkkk010                    R
BRGE k     111101kkkkkkk100                    R
BRLT k     111100kkkkkkk100                    R
BRHS k     111100kkkkkkk101                    R
BRHC k     111101kkkkkkk101                    R
BRTS k     111100kkkkkkk110                    R
BRTC k     111101kkkkkkk110                    R
BRVS k     111100kkkkkkk011                    R
BRVC k     111101kkkkkkk011                    R
